Designator,Mid X,Mid Y,Layer,Rotation
C1,33.000000mm,-4.300000mm,Bottom,0.000000
C2,29.000000mm,-4.300000mm,Bottom,0.000000
C3,38.500000mm,-3.000000mm,Bottom,90.000000
C4,7.000000mm,-3.000000mm,Bottom,0.000000
C5,29.500000mm,-10.200000mm,Bottom,90.000000
C6,23.500000mm,-7.000000mm,Bottom,90.000000
C7,25.000000mm,-4.300000mm,Bottom,0.000000
C8,15.500000mm,-11.300000mm,Bottom,0.000000
C9,17.000000mm,-4.300000mm,Bottom,0.000000
C10,25.500000mm,-11.500000mm,Bottom,90.000000
C11,8.000000mm,-34.500000mm,Bottom,90.000000
C12,34.000000mm,-33.500000mm,Bottom,90.000000
C13,39.000000mm,-15.000000mm,Bottom,0.000000
D1,37.300000mm,-20.700000mm,Bottom,0.000000
Q1,5.000000mm,-11.000000mm,Bottom,0.000000
Q2,9.000000mm,-11.000000mm,Bottom,180.000000
Q3,22.000000mm,-19.000000mm,Bottom,0.000000
R1,29.500000mm,-18.500000mm,Bottom,0.000000
R2,31.500000mm,-20.200000mm,Bottom,0.000000
R3,36.600000mm,-5.500000mm,Bottom,90.000000
R4,39.000000mm,-6.500000mm,Bottom,0.000000
R5,33.500000mm,-11.000000mm,Bottom,0.000000
R6,26.500000mm,-18.500000mm,Bottom,0.000000
R7,4.000000mm,-5.300000mm,Bottom,90.000000
R8,10.000000mm,-5.300000mm,Bottom,90.000000
R9,12.300000mm,-12.000000mm,Bottom,90.000000
R10,12.600000mm,-5.200000mm,Bottom,90.000000
R11,11.500000mm,-18.500000mm,Bottom,0.000000
R12,14.800000mm,-18.500000mm,Bottom,0.000000
R13,18.100000mm,-18.500000mm,Bottom,0.000000
R14,21.000000mm,-5.300000mm,Bottom,90.000000
R15,21.000000mm,-9.700000mm,Bottom,90.000000
R16,23.500000mm,-11.500000mm,Bottom,90.000000
R17,5.500000mm,-33.500000mm,Bottom,90.000000
R18,36.500000mm,-33.500000mm,Bottom,90.000000
R19,39.000000mm,-12.500000mm,Bottom,0.000000
U2,33.000000mm,-7.000000mm,Bottom,0.000000
U3,27.000000mm,-7.000000mm,Bottom,0.000000
U4,7.000000mm,-6.000000mm,Bottom,0.000000
U5,17.000000mm,-7.000000mm,Bottom,0.000000
DS1,21.000000mm,-8.750000mm,Top,0.000000
J1,38.900000mm,-13.300000mm,Top,90.000000
J2,5.000000mm,-16.800000mm,Top,90.000000
SW1,14.015000mm,-22.920000mm,Top,0.000000
SW2,33.065000mm,-22.920000mm,Top,0.000000
U1,21.000000mm,-8.750000mm,Top,90.000000
