Designator,Mid X,Mid Y,Layer,Rotation
C1,32.100000mm,-8.100000mm,Bottom,0.000000
C2,28.600000mm,-13.400000mm,Bottom,-90.000000
C3,32.000000mm,-14.100000mm,Bottom,0.000000
C4,7.000000mm,-3.000000mm,Bottom,0.000000
C5,28.500000mm,-10.500000mm,Bottom,0.000000
C6,25.600000mm,-28.400000mm,Bottom,90.000000
C7,22.700000mm,-28.600000mm,Bottom,90.000000
C9,21.000000mm,-5.300000mm,Bottom,90.000000
C10,13.100000mm,-37.300000mm,Bottom,90.000000
C11,8.000000mm,-34.500000mm,Bottom,90.000000
C12,34.000000mm,-33.500000mm,Bottom,90.000000
C13,23.500000mm,-17.000000mm,Bottom,0.000000
C17,24.200000mm,-14.200000mm,Bottom,-90.000000
C18,21.000000mm,-8.600000mm,Bottom,180.000000
C19,24.000000mm,-7.400000mm,Bottom,90.000000
C20,36.400000mm,-4.450000mm,Bottom,0.000000
C21,33.600000mm,-5.150000mm,Bottom,90.000000
C22,36.500000mm,-1.900000mm,Bottom,90.000000
C23,39.300000mm,-1.850000mm,Bottom,90.000000
C24,39.300000mm,-5.100000mm,Bottom,90.000000
C25,39.300000mm,-8.200000mm,Bottom,90.000000
C26,36.300000mm,-8.350000mm,Bottom,90.000000
C27,36.250000mm,-6.050000mm,Bottom,180.000000
D1,37.800000mm,-23.000000mm,Bottom,0.000000
J1,38.900000mm,-15.300000mm,Bottom,-90.000000
J2,5.000000mm,-16.800000mm,Bottom,-90.000000
L1,24.400000mm,-10.900000mm,Bottom,90.000000
Q1,5.000000mm,-11.000000mm,Bottom,0.000000
Q2,9.000000mm,-11.000000mm,Bottom,180.000000
Q3,20.000000mm,-22.500000mm,Bottom,0.000000
Q4,20.000000mm,-26.500000mm,Bottom,0.000000
Q5,27.500000mm,-17.000000mm,Bottom,0.000000
Q6,31.800000mm,-17.000000mm,Bottom,180.000000
R1,31.800000mm,-19.900000mm,Bottom,0.000000
R2,36.900000mm,-26.000000mm,Bottom,0.000000
R3,29.400000mm,-2.100000mm,Bottom,0.000000
R4,26.200000mm,-22.600000mm,Bottom,0.000000
R5,11.500000mm,-16.800000mm,Bottom,0.000000
R6,23.000000mm,-23.200000mm,Bottom,90.000000
R7,4.000000mm,-5.300000mm,Bottom,90.000000
R8,10.000000mm,-5.300000mm,Bottom,90.000000
R9,12.300000mm,-12.000000mm,Bottom,90.000000
R10,11.800000mm,-2.800000mm,Bottom,90.000000
R11,12.000000mm,-18.800000mm,Bottom,0.000000
R12,15.300000mm,-18.800000mm,Bottom,0.000000
R13,18.600000mm,-18.800000mm,Bottom,0.000000
R14,16.500000mm,-23.450000mm,Bottom,180.000000
R15,16.500000mm,-27.450000mm,Bottom,180.000000
R16,13.100000mm,-33.950000mm,Bottom,90.000000
R17,5.500000mm,-33.500000mm,Bottom,90.000000
R18,36.500000mm,-33.500000mm,Bottom,90.000000
R19,23.500000mm,-19.000000mm,Bottom,0.000000
R20,15.000000mm,-10.500000mm,Bottom,0.000000
R21,15.000000mm,-12.400000mm,Bottom,0.000000
R22,18.300000mm,-9.200000mm,Bottom,90.000000
R23,27.500000mm,-20.000000mm,Bottom,0.000000
R24,17.800000mm,-16.500000mm,Bottom,0.000000
R25,29.000000mm,-23.100000mm,Bottom,90.000000
R26,29.200000mm,-37.000000mm,Bottom,90.000000
R27,32.000000mm,-37.000000mm,Bottom,90.000000
R28,33.700000mm,-2.100000mm,Bottom,0.000000
U1,21.000000mm,-35.000000mm,Bottom,-90.000000
U2,32.000000mm,-11.300000mm,Bottom,0.000000
U3,28.200000mm,-7.000000mm,Bottom,0.000000
U4,7.000000mm,-6.000000mm,Bottom,0.000000
U5,16.000000mm,-5.500000mm,Bottom,0.000000
U6,21.000000mm,-11.500000mm,Bottom,0.000000
DS1,15.750000mm,-5.500000mm,Top,0.000000
SW1,14.015000mm,-22.920000mm,Top,0.000000
SW2,33.065000mm,-22.920000mm,Top,0.000000
