Designator,LCSC,Layer,CPL rot,Rotations that align JLC footprint (predicted),Change rotation?,Suggested rot,Residual mm,"JLC offset needed dx,dy mm",Change position?,Suggested Mid X,Suggested Mid Y,Legacy-model rot
BT1,C70377,Bottom,0.0,180,YES,180,0.005,"0.0,0.0",,21.0,-16.3,0
C1,C377773,Bottom,90.0,90,,90,0.05,"0.0,0.0",,35.6,-3.6,90
C2,C440198,Bottom,90.0,90,,90,0.05,"0.0,-0.0",,33.3,-3.3,90
C3,C377773,Bottom,90.0,90,,90,0.05,"0.0,-0.0",,40.4,-15.2,90
C4,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,2.3,-11.9,0
C5,C377773,Bottom,90.0,90,,90,0.05,"0.0,0.0",,39.0,-44.6,90
C6,C440198,Bottom,90.0,90,,90,0.05,"0.0,0.0",,38.9,-40.6,90
C7,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,27.4,-28.6,0
C9,C14663,Bottom,90.0,90,,90,0.075,"0.0,0.0",,13.0,-44.4,90
C10,C14663,Bottom,90.0,90,,90,0.075,"0.0,0.0",,13.02,-34.58,90
C11,C1588,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,7.5,-31.3,0
C12,C1588,Bottom,0.0,180,YES,180,0.075,"-0.0,0.0",,2.64,-33.2,0
C13,C53987,Bottom,90.0,90,,90,0.075,"0.0,0.0",,40.8,-9.4,90
C20,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,11.7,-1.2,0
C28,C53987,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,11.6,-7.0,0
C29,C53987,Bottom,90.0,90,,90,0.075,"0.0,0.0",,28.95,-44.2,90
C30,C440198,Bottom,90.0,90,,90,0.05,"0.0,0.0",,25.8,-47.6,90
C31,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,17.0,-38.2,0
C32,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,20.2,-38.2,0
C33,C14663,Bottom,0.0,180,YES,180,0.075,"-0.0,0.0",,27.3,-34.6,0
C34,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,27.4,-27.0,0
C35,C14663,Bottom,90.0,90,,90,0.075,"0.0,-0.0",,14.2,-28.2,90
C36,C14663,Bottom,0.0,180,YES,180,0.075,"-0.0,0.0",,24.6,-41.2,0
C37,C14663,Bottom,0.0,180,YES,180,0.075,"0.0,0.0",,3.8,-29.6,0
C38,C14663,Bottom,90.0,90,,90,0.075,"0.0,0.0",,33.4,-23.3,90
C39,C14663,Bottom,90.0,90,,90,0.075,"0.0,0.0",,25.79,-36.97,90
C40,C57112,Bottom,90.0,90,,90,0.075,"0.0,0.0",,29.04,-37.0,90
D1,C7519,Bottom,90.0,0,YES,0,0.012,"0.0,0.0",,30.8,-27.2,180
D2,C7519,Bottom,90.0,0,YES,0,0.012,"0.0,-0.0",,28.02,-31.8,180
D3,C37704,Bottom,0.0,0,,0,0.397,"0.099,0.0",,7.5,-26.8,180
D4,C2128,Bottom,0.0,180,YES,180,0.122,"-0.0,0.0",,39.6,-37.8,0
DS1,C5139758,Top,0.0,0,,0,0.0,"0.0,12.4",YES,21.0,-4.3,0
DS1H,C492406,Top,0.0,0,,0,0.0,"0.0,0.0",,21.0,-4.3,0
J1,C5184243,Bottom,-90.0,270,,270,0.0,"-1.302,-0.0",YES,37.598,-26.6,270
Q1,C20917,Bottom,90.0,270,YES,270,0.083,"0.0,0.021",,2.3,-16.3,270
Q2,C20917,Bottom,90.0,270,YES,270,0.083,"0.0,0.021",,2.3,-21.4,270
Q3,C8545,Bottom,90.0,270,YES,270,0.083,"0.0,0.021",,2.29,-47.53,270
Q4,C8545,Bottom,0.0,0,,0,0.083,"0.021,-0.0",,13.4,-51.9,180
Q5,C8545,Bottom,0.0,0,,0,0.083,"0.021,0.0",,11.5,-28.0,180
R1,C23186,Bottom,90.0,90,,90,0.072,"0.0,-0.0",,33.4,-26.9,90
R2,C23186,Bottom,90.0,90,,90,0.072,"0.0,0.0",,33.4,-30.3,90
R3,C23352,Bottom,0.0,180,YES,180,0.072,"0.0,0.0",,38.4,-7.0,0
R4,C25810,Bottom,0.0,180,YES,180,0.072,"0.0,0.0",,38.4,-8.6,0
R5,C25804,Bottom,0.0,180,YES,180,0.072,"0.0,0.0",,38.4,-11.8,0
R6,C25803,Bottom,90.0,90,,90,0.072,"0.0,-0.0",,30.6,-2.9,90
R7,C23138,Bottom,90.0,90,,90,0.072,"0.0,0.0",,5.4,-9.8,90
R8,C4190,Bottom,90.0,90,,90,0.072,"0.0,0.0",,7.8,-9.8,90
R9,C22979,Bottom,90.0,90,,90,0.072,"0.0,0.0",,6.0,-22.2,90
